ghcVersion,baseVersion,minCabalVersion
8.6.3,4.12.0.0,2.4
8.6.2,4.12.0.0,2.4
8.6.1,4.12.0.0,2.4
8.4.4,4.11.1.0,2.2
8.4.3,4.11.1.0,2.2
8.4.2,4.11.1.0,2.2
8.4.1,4.11.0.0,2.2
8.2.2,4.10.1.0,2.0
8.2.1,4.10.0.0,2.0
8.0.2,4.9.1.0,1.24
8.0.1,4.9.0.0,1.24
7.10.3,4.8.2.0,1.22
7.10.2,4.8.1.0,1.22
7.10.1,4.8.0.0,1.22
7.8.4,4.7.0.2,0
7.8.3,4.7.0.1,0
7.8.1,4.7.0.0,0
7.6.2,4.6.0.1,0
7.6.1,4.6.0.0,0
7.4.2,4.5.1.0,0
7.4.1,4.5.0.0,0
7.2.2,4.4.1.0,0
7.2.1,4.4.0.0,0
7.0.2,4.3.1.0,0
7.0.1,4.3.0.0,0
6.12.3,4.2.0.2,0
6.12.2,4.2.0.1,0
6.12.1,4.2.0.0,0
6.10.2,4.1.0.0,0
6.10.1,4.0.0.0,0
